********************************************************************************
product = Open Liberty 20.0.0.5 (wlp-1.0.40.cl200520200429-1655)
wlp.install.dir = /home/gui/devs/user/target/liberty/wlp/
java.home = /usr/lib/jvm/java-11-openjdk-amd64
java.version = 11.0.7
java.runtime = OpenJDK Runtime Environment (11.0.7+10-post-Ubuntu-3ubuntu1)
os = Linux (5.4.0-29-generic; amd64) (pt_BR)
process = 2735@gui-Aspire-A315-51
********************************************************************************
[17/05/2020 13:47:01:890 BRT] 00000023 com.ibm.ws.webcontainer                                      I SRVE0250I: O Módulo da Web com.ibm.ws.security.jwt foi ligado ao default_host.
[17/05/2020 13:47:01:870 BRT] 0000002c com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Carregando o Módulo da Web: OpenAPIUI.
[17/05/2020 13:47:01:890 BRT] 0000002c com.ibm.ws.webcontainer                                      I SRVE0250I: O Módulo da Web OpenAPIUI foi ligado ao default_host.
[17/05/2020 13:47:01:891 BRT] 0000002c com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/openapi/ui/
[17/05/2020 13:47:01:902 BRT] 00000023 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/jwt/
[17/05/2020 13:47:01:904 BRT] 0000002e com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/metrics/
[17/05/2020 13:47:01:906 BRT] 0000002b com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/ibm/api/
[17/05/2020 13:47:01:907 BRT] 00000025 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/openapi/
[17/05/2020 13:47:02:037 BRT] 0000002e com.ibm.ws.session.WASSessionCore                            I SESN0176I: Um novo contexto de sessão será criado para a chave do aplicativo default_host/ibm/api
[17/05/2020 13:47:02:043 BRT] 00000033 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Um novo contexto de sessão será criado para a chave do aplicativo default_host/metrics
[17/05/2020 13:47:02:044 BRT] 0000002c com.ibm.ws.session.WASSessionCore                            I SESN0176I: Um novo contexto de sessão será criado para a chave do aplicativo default_host/openapi/ui
[17/05/2020 13:47:02:044 BRT] 00000036 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Um novo contexto de sessão será criado para a chave do aplicativo default_host/jwt
