********************************************************************************
product = Open Liberty 20.0.0.5 (wlp-1.0.40.cl200520200429-1655)
wlp.install.dir = /home/gui/devs/user/target/liberty/wlp/
java.home = /usr/lib/jvm/java-11-openjdk-amd64
java.version = 11.0.7
java.runtime = OpenJDK Runtime Environment (11.0.7+10-post-Ubuntu-3ubuntu1)
os = Linux (5.4.0-29-generic; amd64) (pt_BR)
process = 60101@gui-Aspire-A315-51
********************************************************************************
[19/05/2020 20:37:45:546 BRT] 0000002a com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/health/
[19/05/2020 20:37:45:544 BRT] 00000035 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Carregando o Módulo da Web: com.ibm.ws.security.jwt.
[19/05/2020 20:37:45:549 BRT] 00000035 com.ibm.ws.webcontainer                                      I SRVE0250I: O Módulo da Web com.ibm.ws.security.jwt foi ligado ao default_host.
[19/05/2020 20:37:45:545 BRT] 0000002e com.ibm.ws.webcontainer                                      I SRVE0250I: O Módulo da Web ibm/api foi ligado ao default_host.
[19/05/2020 20:37:45:561 BRT] 00000025 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/metrics/
[19/05/2020 20:37:45:580 BRT] 00000029 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/openapi/ui/
[19/05/2020 20:37:45:580 BRT] 0000002e com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/ibm/api/
[19/05/2020 20:37:45:580 BRT] 00000035 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/jwt/
[19/05/2020 20:37:45:776 BRT] 00000036 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Carregando o Módulo da Web: MicroProfileOpenAPI.
[19/05/2020 20:37:45:778 BRT] 00000036 com.ibm.ws.webcontainer                                      I SRVE0250I: O Módulo da Web MicroProfileOpenAPI foi ligado ao default_host.
[19/05/2020 20:37:45:778 BRT] 00000036 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/openapi/
[19/05/2020 20:37:45:811 BRT] 00000034 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Um novo contexto de sessão será criado para a chave do aplicativo default_host/openapi/ui
